case_id,channel,tracer,injection_site,injection_site_coarse
SW120404-01A,2,phal,ILA,ILA
SW120404-01A,3,fg,PL,PL
SW120404-02A,2,phal,ILA,ILA
SW120404-02A,3,fg,PL,PL
SW120404-02A,5,ctb,ILA,ILA
SW120404-04A,2,phal,ILA,ILA
SW120404-04A,5,ctb,ILA,ILA
SW151027-02B,2,phal,DP,DP
SW151027-02B,4,ctb,DP,DP
SW160120-01B,2,phal,DP,DP
SW160120-01B,5,ctb,DP,DP
SW160120-03A,2,phal,DP,DP
SW160120-03A,4,aav-rfp,DP,DP
SW160120-03A,5,ctb,DP,DP
SW170420-03A,2,phal,DP_deep,DP
SW170420-03A,4,aav-rfp,ACAd,ACAd
SW170420-04A,2,phal,DP_deep,DP
SW170420-04A,5,ctb,DP_deep,DP
SW170420-04A,4,aav-rfp,ACAd,ACAd
SW170420-04A,3,fg,ACAd,ACAd
SW110321-04B,2,phal,ACAv,ACAv
SW110321-04B,5,ctb,ACAv,ACAv
SW120403-02A,2,phal,ACAv,ACAv
SW120403-02A,5,ctb,ACAv,ACAv
SW120530-03A,2,phal,PL,PL
SW120530-03A,3,fg,ACAd,ACAd
SW110613-02B,2,phal,PL,PL
SW110808-04A,2,phal,PL,PL
SW110614-01B,2,phal,ACAd,ACAd
SW110614-01B,5,ctb,ACAd,ACAd
SW110606-01A,2,phal,ACAv,ACAv
SW110606-01A,5,ctb,ACAv,ACAv